group,key,n,dD_base,dD_after_aging,dD_final,abs_dD_base,abs_dD_after_aging,abs_dD_final,dS,dP_fav,dP_x,dP_dog,mae_ah,mae_tot,n_ge05_ah
Bundesliga / Stable (≥5 new),Bundesliga:stable,119,-0.08288605700161392,-0.03504992901363088,0.043397513045828805,0.23188367875385538,0.18708151301033873,0.1709479579021877,-0.10890165225336623,-0.33700603765072107,0.40107808875051215,-0.06407205109979211,0.16806722689075632,0.16596638655462184,13
La Liga / Long break / first (0 new),La Liga:long_break,19,-0.011116331305789252,-0.020890236025351398,0.04916961486510146,0.228080953598026,0.23907884483015937,0.2248620650338761,0.13545570988967962,0.28829956465405054,-0.8524480993117504,0.5641485346576955,0.17105263157894737,0.25,1
La Liga / Stable (≥5 new),La Liga:stable,647,-0.04684627534581898,-0.004063845416842045,0.05997796968114604,0.2255484930014041,0.1812569604391465,0.17141489386479006,-0.03666737111622061,0.3778182742295566,-0.3834482019594356,0.005629927729878198,0.15301391035548687,0.14799072642967542,66
Ligue 1 / Long break / first (0 new),Ligue 1:long_break,18,-0.11543180029298201,-0.11638329069878334,-0.04370598376908003,0.2594959049675955,0.24824042133300772,0.19492127339229215,0.034425065037088184,-1.523611725071516,-0.24360736852420242,1.7672190935957115,0.19444444444444445,0.1527777777777778,4
Ligue 1 / Stable (≥5 new),Ligue 1:stable,520,-0.1344609759111645,-0.04633888166053896,0.02799439220410361,0.27904591290506253,0.20282804162425394,0.18278860224264604,-0.040363557888756514,-0.4708232276361365,-0.16712451854908372,0.6379477461852184,0.17932692307692308,0.16442307692307692,68
Premier League / Stable (≥5 new),Premier League:stable,181,-0.05599941372988679,-0.029661325289681968,0.05296166555768421,0.22696837416275276,0.18349811656273027,0.1780084766559878,-0.04356798659451258,-0.13093917979696384,0.050653405492831996,0.08028577430413186,0.16160220994475138,0.15607734806629833,24
Serie A / Long break / first (0 new),Serie A:long_break,20,0.03824649415188521,0.05333089252357452,0.12568479976419256,0.18574744494823386,0.18688770165472565,0.20896413496353974,0.09851988843985104,1.3381990188200732,-0.9278599351406893,-0.4103390836793871,0.2,0.1875,5
Serie A / Stable (≥5 new),Serie A:stable,649,-0.07180888228578661,-0.011810316579229738,0.06084315167003863,0.22623725107495032,0.1691618817850649,0.16217329837443126,0.0032755768661365797,0.23066162104221513,-0.5428201528832504,0.3121585318410339,0.14907550077041604,0.14252696456086286,55
