group,key,n,dD_base,dD_after_aging,dD_final,abs_dD_base,abs_dD_after_aging,abs_dD_final,dS,dP_fav,dP_x,dP_dog,mae_ah,mae_tot,n_ge05_ah
All,all,2409,-0.0751031332091696,-0.020190832292185983,0.050703440286791975,0.2351650257898652,0.18602644379250677,0.17550201006608543,-0.019531047332809727,0.05205037988859354,-0.3416229138159105,0.2895725339273157,0.16344956413449563,0.15338314653383148,277
Long break / first (0 new),long_break,57,-0.026737768720104697,-0.02500343625593485,0.046687911752234,0.22314760187269983,0.2236592924361698,0.20982885712238067,0.09059135837488634,0.08450282550072168,-0.6866428986521524,0.6021400731514259,0.18859649122807018,0.19736842105263158,10
Warm-up 2 (1 new),warmup_2,58,-0.03452181581816585,-0.018009644817091282,0.05365492021992362,0.21595063230899778,0.21775441950241528,0.21511567879948731,0.09354046378137672,0.11231690476133326,-0.6004310790521644,0.48811417429083137,0.21551724137931033,0.15948275862068967,13
Warm-up 3 (2 new),warmup_3,60,-0.01210492316282907,0.028776189411494738,0.08895574503282527,0.2114947608103597,0.22403613410185175,0.22625327855984573,0.03923915499726635,1.2713887794520884,-0.7210684684242123,-0.5503203110278824,0.22083333333333333,0.15416666666666667,12
Warm-up 4–5 (3–4 new),warmup_4_5,117,-0.08487923102430221,-0.03469273760671003,0.028367411659633364,0.18759461389398782,0.18135778657396476,0.17854027130299555,0.025824243667767893,-0.4363384322732062,-0.6067956133992762,1.0431340456724827,0.1623931623931624,0.1517094017094017,16
Stable (≥5 new),stable,2116,-0.07884335864571243,-0.020760899498181322,0.05085085126752595,0.2393842907019616,0.18336755929741563,0.17191319537183133,-0.029977359177685653,0.04041400145956688,-0.2979156222017932,0.25750162074222516,0.15985349716446126,0.15205576559546313,226
Unknown (no prior),unknown,1,0.09258254755061113,0.09258254755061113,0.11465816001743806,0.09258254755061113,0.09258254755061113,0.11465816001743806,0.41695885959101453,3.3105663423196763,-4.357300122167756,1.0467337798480914,0.0,0.25,0
