n,mae_ah,mae_tot,n_ah_ge_05,n_ah_ge_025,flip_ah_n,flip_ah_rate,flip_1x2_n,flip_1x2_rate,mae_odds_1,mae_odds_x,mae_odds_2,harm_vs_CURRENT_mean,harm_vs_CURRENT_pct_pos,benefit_vs_CURRENT_pct,series,arm
34,0.2426470588235294,0.15441176470588236,6,27,6,0.17647058823529413,3,0.08823529411764706,0.6406771777035738,0.25270883349728246,0.8503518370892513,0.0,0.0,0.0,BOTH,CURRENT
34,0.21323529411764705,0.15441176470588236,5,24,4,0.11764705882352941,3,0.08823529411764706,0.49971452655318366,0.1905499377478582,0.6924916829401886,-0.029411764705882353,0.058823529411764705,0.17647058823529413,BOTH,DECAY75
34,0.13970588235294118,0.125,0,19,2,0.058823529411764705,2,0.058823529411764705,0.3686485003107269,0.15702220866632263,0.5821801426921256,-0.10294117647058823,0.058823529411764705,0.4411764705882353,BOTH,DECAY50
34,0.125,0.11029411764705882,1,16,1,0.029411764705882353,1,0.029411764705882353,0.2666306401713014,0.13644967390666718,0.536985439900944,-0.11764705882352941,0.11764705882352941,0.5588235294117647,BOTH,DECAY25
34,0.10294117647058823,0.11029411764705882,2,12,2,0.058823529411764705,1,0.029411764705882353,0.22343522183020872,0.15137642169201324,0.6006434594910786,-0.13970588235294118,0.11764705882352941,0.5882352941176471,BOTH,RESET
34,0.2426470588235294,0.15441176470588236,6,27,6,0.17647058823529413,3,0.08823529411764706,0.6406771777035738,0.25270883349728246,0.8503518370892513,0.0,0.0,0.0,D_ONLY,CURRENT
34,0.21323529411764705,0.15441176470588236,5,24,4,0.11764705882352941,3,0.08823529411764706,0.48312346232328474,0.20569370200808337,0.659590481845838,-0.029411764705882353,0.058823529411764705,0.17647058823529413,D_ONLY,DECAY75
34,0.13970588235294118,0.15441176470588236,0,19,2,0.058823529411764705,2,0.058823529411764705,0.3418396286420498,0.18291206156202677,0.520884227629117,-0.10294117647058823,0.058823529411764705,0.4411764705882353,D_ONLY,DECAY50
34,0.11764705882352941,0.15441176470588236,1,15,1,0.029411764705882353,1,0.029411764705882353,0.2387371220581836,0.1699013617209427,0.4271529619497823,-0.125,0.11764705882352941,0.5882352941176471,D_ONLY,DECAY25
34,0.11029411764705882,0.15441176470588236,2,13,2,0.058823529411764705,1,0.029411764705882353,0.19453614123007068,0.172531546921885,0.4718058188857768,-0.1323529411764706,0.11764705882352941,0.5588235294117647,D_ONLY,RESET
34,0.2426470588235294,0.15441176470588236,6,27,6,0.17647058823529413,3,0.08823529411764706,0.6406771777035738,0.25270883349728246,0.8503518370892513,0.0,0.0,0.0,S_ONLY,CURRENT
34,0.2426470588235294,0.15441176470588236,6,27,6,0.17647058823529413,3,0.08823529411764706,0.66203170967807,0.24002670860103664,0.8804865212504901,0.0,0.0,0.0,S_ONLY,DECAY75
34,0.2426470588235294,0.125,6,27,6,0.17647058823529413,3,0.08823529411764706,0.6845608264901181,0.22887687083163377,0.9121198281691533,0.0,0.0,0.0,S_ONLY,DECAY50
34,0.2426470588235294,0.11029411764705882,6,27,6,0.17647058823529413,3,0.08823529411764706,0.708379191505557,0.21972911124817554,0.945372407911473,0.0,0.0,0.0,S_ONLY,DECAY25
34,0.2426470588235294,0.11029411764705882,6,27,6,0.17647058823529413,3,0.08823529411764706,0.7336186550836674,0.21330333295715295,0.9833606166787094,0.0,0.0,0.0,S_ONLY,RESET
