id_fixture,status,error,open_dt,close_dt,home_odds_open,draw_odds_open,away_odds_open,home_odds_close,draw_odds_close,away_odds_close,closing_ah_home,ah_home_odds_open,ah_away_odds_open,ah_home_odds_close,ah_away_odds_close,closing_total_line,over_odds_open,under_odds_open,over_odds_close,under_odds_close,live_home_odds,live_draw_odds,live_away_odds,live_ah_home_odds,live_ah_away_odds,live_over_odds,live_under_odds
1574915092,ok,,28.06 15:25,14.08 22:29,1.29,5.4,9.45,1.31,5.9,10.5,-1.5,1.91,1.91,1.96,1.96,3.0,2.19,1.67,2.09,1.83,1.31,5.9,10.5,1.96,1.96,2.09,1.83
1574915093,ok,,28.06 15:25,12.08 20:19,2.73,2.93,2.88,2.64,2.93,3.32,-0.25,2.29,1.63,2.2,1.77,1.75,1.63,2.26,1.91,2.0,2.64,2.93,3.32,2.2,1.77,1.91,2.0
1574915094,ok,,28.06 15:19,12.08 22:28,3.38,3.51,2.1,3.46,3.51,2.23,0.25,2.01,1.82,2.0,1.92,2.5,1.8,2.01,1.95,1.95,3.46,3.51,2.23,2.0,1.92,1.95,1.95
