ts,event,id_fixture,fields
2026-06-26 16:04:52,start id_fixture,1610764581,
2026-06-26 16:04:53,ok id,1610764581,9
2026-06-26 16:05:34,start id_fixture,1610764580,
2026-06-26 16:05:35,ok id,1610764580,9
2026-06-26 16:06:28,start id_fixture,1613234586,
2026-06-26 16:06:29,ok id,1613234586,9
2026-06-26 16:06:58,start id_fixture,1613234522,
2026-06-26 16:06:58,ok id,1613234522,9
2026-06-26 16:07:53,start id_fixture,1613338717,
2026-06-26 16:07:54,ok id,1613338717,9
2026-06-26 16:08:24,start id_fixture,1613338716,
2026-06-26 16:08:25,ok id,1613338716,9
2026-06-26 16:08:48,start id_fixture,1613331981,
2026-06-26 16:08:49,ok id,1613331981,9
2026-06-26 16:09:16,start id_fixture,1613324793,
2026-06-26 16:09:17,ok id,1613324793,9
2026-06-26 16:10:04,start id_fixture,1613446259,
2026-06-26 16:10:05,ok id,1613446259,9
2026-06-26 16:10:30,start id_fixture,1613440612,
2026-06-26 16:10:31,ok id,1613440612,9
2026-06-26 16:10:54,start id_fixture,1613440577,
2026-06-26 16:10:55,ok id,1613440577,9
2026-06-26 16:11:20,start id_fixture,1613440576,
2026-06-26 16:11:21,ok id,1613440576,9
2026-06-26 16:12:36,start id_fixture,1614037143,
2026-06-26 16:12:37,ok id,1614037143,9
2026-06-26 16:13:09,start id_fixture,1614037146,
2026-06-26 16:13:10,ok id,1614037146,9
2026-06-26 16:13:44,start id_fixture,1614037145,
2026-06-26 16:13:45,ok id,1614037145,9
2026-06-26 16:14:44,start id_fixture,1614003832,
2026-06-26 16:14:45,ok id,1614003832,9
2026-06-26 16:15:15,start id_fixture,1614031942,
2026-06-26 16:15:16,ok id,1614031942,9
2026-06-26 16:16:47,start id_fixture,1614031943,
2026-06-26 16:16:47,ok id,1614031943,9
2026-06-26 16:17:27,start id_fixture,1614037144,
2026-06-26 16:17:28,ok id,1614037144,9
2026-06-26 16:21:50,start id_fixture,1614037142,
2026-06-26 16:21:51,ok id,1614037142,9
2026-06-26 16:24:34,start id_fixture,1614003833,
2026-06-26 16:24:35,ok id,1614003833,9
2026-06-26 16:24:55,start id_fixture,1614031941,
2026-06-26 16:24:56,ok id,1614031941,9
2026-06-26 16:25:56,start id_fixture,1614593730,
2026-06-26 16:25:56,ok id,1614593730,9
2026-06-26 16:26:50,start id_fixture,1614593731,
2026-06-26 16:26:50,ok id,1614593731,9
2026-06-26 16:27:24,start id_fixture,1614588922,
2026-06-26 16:27:25,ok id,1614588922,9
2026-06-26 16:28:05,start id_fixture,101033052,
2026-06-26 16:28:06,userbet error id,101033052,
2026-06-26 16:29:15,start id_fixture,101033052,
2026-06-26 16:29:16,userbet error id,101033052,
2026-06-26 16:29:21,start id_fixture,101033052,
2026-06-26 16:29:22,userbet error id,101033052,
2026-06-26 16:29:42,start id_fixture,1614589041,
2026-06-26 16:29:43,ok id,1614589041,9
2026-06-26 16:34:16,start id_fixture,1614593729,
2026-06-26 16:34:17,ok id,1614593729,9
2026-06-26 16:34:37,start id_fixture,1614589042,
2026-06-26 16:34:38,ok id,1614589042,9
2026-06-26 16:35:13,start id_fixture,1614588924,
2026-06-26 16:35:14,ok id,1614588924,9
2026-06-26 16:35:32,start id_fixture,1614588921,
2026-06-26 16:35:33,ok id,1614588921,9
2026-06-26 16:35:50,start id_fixture,1614588925,
2026-06-26 16:35:51,ok id,1614588925,9
2026-06-26 16:37:54,start id_fixture,1614588923,
2026-06-26 16:37:55,ok id,1614588923,9
2026-06-26 16:38:45,start id_fixture,1615193163,
2026-06-26 16:38:46,ok id,1615193163,9
2026-06-26 16:38:58,start id_fixture,1615174992,
2026-06-26 16:38:59,ok id,1615174992,9
2026-06-26 16:39:14,start id_fixture,1615166995,
2026-06-26 16:39:15,ok id,1615166995,9
2026-06-26 16:40:01,start id_fixture,1615313017,
2026-06-26 16:40:01,ok id,1615313017,9
2026-06-26 16:40:47,start id_fixture,1615303842,
2026-06-26 16:40:48,ok id,1615303842,9
2026-06-26 16:41:02,start id_fixture,1615290952,
2026-06-26 16:41:03,ok id,1615290952,9
2026-06-26 16:41:29,start id_fixture,1615290951,
2026-06-26 16:41:30,ok id,1615290951,9
2026-06-26 16:41:51,start id_fixture,1615277598,
2026-06-26 16:41:52,ok id,1615277598,9
2026-06-26 16:49:01,start id_fixture,1615396519,
2026-06-26 16:49:02,ok id,1615396519,9
2026-06-26 16:49:25,start id_fixture,1615393539,
2026-06-26 16:49:26,ok id,1615393539,9
2026-06-26 16:50:31,start id_fixture,1615652398,
2026-06-26 16:50:32,ok id,1615652398,9
2026-06-26 16:51:46,start id_fixture,1615713953,
2026-06-26 16:51:47,ok id,1615713953,9
2026-06-26 16:52:06,start id_fixture,1615709386,
2026-06-26 16:52:06,ok id,1615709386,9
2026-06-26 16:52:34,start id_fixture,1615722620,
2026-06-26 16:52:35,ok id,1615722620,9
2026-06-26 16:53:02,start id_fixture,1615731096,
2026-06-26 16:53:03,ok id,1615731096,9
2026-06-26 16:54:07,start id_fixture,1615836030,
2026-06-26 16:54:08,ok id,1615836030,9
2026-06-26 16:54:35,start id_fixture,1615845210,
2026-06-26 16:54:36,ok id,1615845210,9
2026-06-26 16:55:25,start id_fixture,1615840013,
2026-06-26 16:55:26,ok id,1615840013,9
2026-06-26 16:55:58,start id_fixture,1615850304,
2026-06-26 16:55:59,ok id,1615850304,9
2026-06-26 16:56:26,start id_fixture,1615856448,
2026-06-26 16:56:27,ok id,1615856448,9
2026-06-26 16:57:21,start id_fixture,1616854059,
2026-06-26 16:57:22,ok id,1616854059,9
2026-06-26 16:57:40,start id_fixture,1616851726,
2026-06-26 16:57:41,ok id,1616851726,9
2026-06-26 16:58:24,start id_fixture,1616864343,
2026-06-26 16:58:25,ok id,1616864343,9
2026-06-26 16:58:56,start id_fixture,1616870010,
2026-06-26 16:58:57,ok id,1616870010,9
2026-06-26 16:59:42,start id_fixture,1616879346,
2026-06-26 16:59:43,ok id,1616879346,9
2026-06-26 17:00:23,start id_fixture,1616870057,
2026-06-26 17:00:24,ok id,1616870057,9
2026-06-26 17:26:36,start id_fixture,1616873857,
2026-06-26 17:26:38,ok id,1616873857,9
2026-06-26 17:27:10,start id_fixture,1616873858,
2026-06-26 17:27:11,ok id,1616873858,9
2026-06-26 17:28:14,start id_fixture,1616870058,
2026-06-26 17:28:15,ok id,1616870058,9
2026-06-26 17:29:11,start id_fixture,1616870059,
2026-06-26 17:29:12,ok id,1616870059,9
2026-06-26 17:29:56,start id_fixture,1616990727,
2026-06-26 17:29:57,ok id,1616990727,9
2026-06-26 17:31:09,start id_fixture,1616994660,
2026-06-26 17:31:10,ok id,1616994660,9
2026-06-26 17:31:32,start id_fixture,1616990725,
2026-06-26 17:31:33,ok id,1616990725,9
2026-06-26 17:31:48,start id_fixture,1616984304,
2026-06-26 17:31:49,ok id,1616984304,9
2026-06-26 17:33:01,start id_fixture,1616990723,
2026-06-26 17:33:02,ok id,1616990723,9
2026-06-26 17:40:46,start id_fixture,1616984303,
2026-06-26 17:40:47,ok id,1616984303,9
2026-06-26 17:41:06,start id_fixture,1616994659,
2026-06-26 17:41:06,ok id,1616994659,9
2026-06-26 17:41:27,start id_fixture,1616990724,
2026-06-26 17:41:28,ok id,1616990724,9
2026-06-26 17:41:49,start id_fixture,1616990726,
2026-06-26 17:41:50,ok id,1616990726,9
2026-06-26 17:42:14,start id_fixture,1616984305,
2026-06-26 17:42:15,ok id,1616984305,9
2026-06-26 17:42:45,start id_fixture,1617374763,
2026-06-26 17:42:45,ok id,1617374763,9
2026-06-26 17:43:01,start id_fixture,1617375811,
2026-06-26 17:43:02,ok id,1617375811,9
2026-06-26 17:43:41,start id_fixture,1617413232,
2026-06-26 17:43:42,ok id,1617413232,9
2026-06-26 17:44:32,start id_fixture,1617413231,
2026-06-26 17:44:32,ok id,1617413231,9
2026-06-26 17:44:52,start id_fixture,1617405631,
2026-06-26 17:44:53,ok id,1617405631,9
2026-06-26 17:45:12,start id_fixture,1617422549,
2026-06-26 17:45:13,ok id,1617422549,9
2026-06-26 17:45:30,start id_fixture,1617413307,
2026-06-26 17:45:31,ok id,1617413307,9
2026-06-26 17:45:46,start id_fixture,1617413164,
2026-06-26 17:45:47,ok id,1617413164,9
2026-06-26 17:46:35,start id_fixture,1617496098,
2026-06-26 17:46:36,ok id,1617496098,9
2026-06-26 17:46:52,start id_fixture,1617518951,
2026-06-26 17:46:53,ok id,1617518951,9
2026-06-26 17:47:52,start id_fixture,1617635259,
2026-06-26 17:47:53,ok id,1617635259,9
2026-06-26 17:48:05,start id_fixture,1617652449,
2026-06-26 17:48:06,ok id,1617652449,9
2026-06-26 17:48:23,start id_fixture,1617652505,
2026-06-26 17:48:24,ok id,1617652505,9
2026-06-26 17:48:58,start id_fixture,1617778541,
2026-06-26 17:48:59,ok id,1617778541,9
2026-06-26 17:49:18,start id_fixture,1617779255,
2026-06-26 17:49:19,ok id,1617779255,9
2026-06-26 17:49:40,start id_fixture,1617778688,
2026-06-26 17:49:41,ok id,1617778688,9
2026-06-26 17:50:11,start id_fixture,1617782449,
2026-06-26 17:50:11,ok id,1617782449,9
2026-06-26 17:50:40,start id_fixture,1617782411,
2026-06-26 17:50:41,ok id,1617782411,9
2026-06-26 18:00:12,start id_fixture,1617861324,
2026-06-26 18:00:13,ok id,1617861324,9
2026-06-26 18:01:00,start id_fixture,1617862308,
2026-06-26 18:01:01,ok id,1617862308,9
2026-06-26 18:01:34,start id_fixture,1618125619,
2026-06-26 18:01:35,ok id,1618125619,9
2026-06-26 18:02:49,start id_fixture,1618172611,
2026-06-26 18:02:50,ok id,1618172611,9
2026-06-26 18:03:12,start id_fixture,1618174888,
2026-06-26 18:03:13,ok id,1618174888,9
2026-06-26 18:03:32,start id_fixture,1618181120,
2026-06-26 18:03:33,ok id,1618181120,9
2026-06-26 18:03:59,start id_fixture,1618203058,
2026-06-26 18:04:00,ok id,1618203058,9
2026-06-26 18:04:44,start id_fixture,1618298011,
2026-06-26 18:04:45,ok id,1618298011,9
2026-06-26 18:05:02,start id_fixture,1618307420,
2026-06-26 18:05:03,ok id,1618307420,9
2026-06-26 18:05:25,start id_fixture,1618303054,
2026-06-26 18:05:26,ok id,1618303054,9
2026-06-26 18:05:42,start id_fixture,1618323259,
2026-06-26 18:05:42,ok id,1618323259,9
2026-06-26 18:05:56,start id_fixture,1618329849,
2026-06-26 18:05:57,ok id,1618329849,9
2026-06-26 18:42:38,start id_fixture,1618917107,
2026-06-26 18:42:39,ok id,1618917107,9
2026-06-26 18:43:28,start id_fixture,1618899364,
2026-06-26 18:43:29,ok id,1618899364,9
2026-06-26 18:44:01,start id_fixture,1618917118,
2026-06-26 18:44:02,ok id,1618917118,9
2026-06-26 18:44:26,start id_fixture,1618917104,
2026-06-26 18:44:27,ok id,1618917104,9
2026-06-26 18:45:30,start id_fixture,1618917115,
2026-06-26 18:45:31,ok id,1618917115,9
2026-06-26 18:45:57,start id_fixture,1618918942,
2026-06-26 18:45:58,ok id,1618918942,9
2026-06-26 18:46:45,start id_fixture,1618899365,
2026-06-26 18:46:45,ok id,1618899365,9
2026-06-26 18:47:38,start id_fixture,1618917117,
2026-06-26 18:47:39,ok id,1618917117,9
