n,mae_ah,mae_tot,n_ah_ge_05,flip_ah_rate,mae_odds_1,series,arm
34,0.2426470588235294,0.15441176470588236,6,0.17647058823529413,0.6406771777035738,BOTH,CURRENT
34,0.11029411764705882,0.11029411764705882,1,0.029411764705882353,0.24369281439762094,BOTH,H30
34,0.125,0.11029411764705882,1,0.029411764705882353,0.26973290272698514,BOTH,H45
34,0.10294117647058823,0.11764705882352941,0,0.029411764705882353,0.30782042159377204,BOTH,H60
34,0.1323529411764706,0.11764705882352941,0,0.058823529411764705,0.370995796444335,BOTH,H90
34,0.10294117647058823,0.11029411764705882,2,0.058823529411764705,0.22343522183020872,BOTH,RESET
34,0.2426470588235294,0.15441176470588236,6,0.17647058823529413,0.6406771777035738,D_ONLY,CURRENT
34,0.11764705882352941,0.15441176470588236,1,0.029411764705882353,0.21130498159289848,D_ONLY,H30
34,0.125,0.15441176470588236,1,0.029411764705882353,0.24194127865086384,D_ONLY,H45
34,0.10294117647058823,0.15441176470588236,0,0.029411764705882353,0.27875487571747004,D_ONLY,H60
34,0.1323529411764706,0.15441176470588236,0,0.058823529411764705,0.34417994338590097,D_ONLY,H90
34,0.11029411764705882,0.15441176470588236,2,0.058823529411764705,0.19453614123007068,D_ONLY,RESET
34,0.2426470588235294,0.15441176470588236,6,0.17647058823529413,0.6406771777035738,S_ONLY,CURRENT
34,0.2426470588235294,0.11029411764705882,6,0.17647058823529413,0.7204513517370473,S_ONLY,H30
34,0.2426470588235294,0.11029411764705882,6,0.17647058823529413,0.7079372035374001,S_ONLY,H45
34,0.2426470588235294,0.11764705882352941,6,0.17647058823529413,0.6979057958394014,S_ONLY,H60
34,0.2426470588235294,0.11764705882352941,6,0.17647058823529413,0.6841713467300692,S_ONLY,H90
34,0.2426470588235294,0.11029411764705882,6,0.17647058823529413,0.7336186550836674,S_ONLY,RESET
