mslb_bucket,CURRENT_n,CURRENT_mae_ah,CURRENT_n_ge05,CURRENT_flip,CURRENT_mae_tot,RESET_n,RESET_mae_ah,RESET_n_ge05,RESET_flip,RESET_mae_tot,H30_n,H30_mae_ah,H30_n_ge05,H30_flip,H30_mae_tot,H45_n,H45_mae_ah,H45_n_ge05,H45_flip,H45_mae_tot,H60_n,H60_mae_ah,H60_n_ge05,H60_flip,H60_mae_tot,H90_n,H90_mae_ah,H90_n_ge05,H90_flip,H90_mae_tot,n,harm_CUR_vs_RESET_mean,pct_CURRENT_worse,pct_CURRENT_better,mean_t
1,57,0.29385964912280704,20,0.15789473684210525,0.2631578947368421,57,0.2149122807017544,10,0.14035087719298245,0.18859649122807018,57,0.20175438596491227,10,0.14035087719298245,0.19298245614035087,57,0.19298245614035087,8,0.12280701754385964,0.19298245614035087,57,0.18421052631578946,9,0.10526315789473684,0.20175438596491227,57,0.21929824561403508,13,0.12280701754385964,0.2149122807017544,57,0.07894736842105263,0.42105263157894735,0.22807017543859648,96.90350877192982
2,58,0.28448275862068967,18,0.1896551724137931,0.23706896551724138,58,0.2025862068965517,12,0.13793103448275862,0.17672413793103448,58,0.2629310344827586,16,0.1724137931034483,0.20689655172413793,58,0.2672413793103448,16,0.1724137931034483,0.21120689655172414,58,0.27155172413793105,16,0.1896551724137931,0.21982758620689655,58,0.28448275862068967,17,0.1896551724137931,0.22413793103448276,58,0.08189655172413793,0.4482758620689655,0.20689655172413793,6.948275862068965
3-4,119,0.17857142857142858,18,0.13445378151260504,0.14285714285714285,119,0.18487394957983194,11,0.18487394957983194,0.16176470588235295,119,0.15966386554621848,13,0.14285714285714285,0.13655462184873948,119,0.16596638655462184,16,0.13445378151260504,0.13865546218487396,119,0.16596638655462184,15,0.13445378151260504,0.1407563025210084,119,0.16806722689075632,16,0.13445378151260504,0.1407563025210084,118,-0.006355932203389831,0.2288135593220339,0.2711864406779661,9.441176470588236
5+,226,0.15265486725663716,25,0.11504424778761062,0.1338495575221239,226,0.1670353982300885,21,0.12389380530973451,0.1570796460176991,226,0.13827433628318583,22,0.10176991150442478,0.13163716814159293,226,0.14380530973451328,21,0.11504424778761062,0.12942477876106195,226,0.1426991150442478,21,0.11504424778761062,0.13163716814159293,226,0.14491150442477876,22,0.11504424778761062,0.13274336283185842,226,-0.014380530973451327,0.2345132743362832,0.27876106194690264,7.871681415929204
unknown,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0.0,0.0,
