bucket,CURRENT_n,CURRENT_mae_ah,CURRENT_n_ge05,CURRENT_flip,CURRENT_mae_tot,RESET_n,RESET_mae_ah,RESET_n_ge05,RESET_flip,RESET_mae_tot,H30_n,H30_mae_ah,H30_n_ge05,H30_flip,H30_mae_tot,H45_n,H45_mae_ah,H45_n_ge05,H45_flip,H45_mae_tot,H60_n,H60_mae_ah,H60_n_ge05,H60_flip,H60_mae_tot,H90_n,H90_mae_ah,H90_n_ge05,H90_flip,H90_mae_tot,n,harm_CUR_vs_RESET_mean,pct_CURRENT_worse,pct_CURRENT_better,mean_t
GW1-2,116,0.28663793103448276,38,0.1724137931034483,0.25,116,0.20689655172413793,22,0.13793103448275862,0.18318965517241378,116,0.23060344827586207,26,0.15517241379310345,0.20043103448275862,116,0.22844827586206898,24,0.14655172413793102,0.2025862068965517,116,0.22629310344827586,25,0.14655172413793102,0.21120689655172414,116,0.25,30,0.15517241379310345,0.21982758620689655,116,0.07974137931034483,0.43103448275862066,0.21551724137931033,51.53478260869565
GW3-4,114,0.17982456140350878,18,0.14035087719298245,0.1425438596491228,114,0.18201754385964913,10,0.19298245614035087,0.15789473684210525,114,0.1600877192982456,13,0.14912280701754385,0.1337719298245614,114,0.16666666666666666,16,0.14035087719298245,0.13596491228070176,114,0.16666666666666666,15,0.14035087719298245,0.13815789473684212,114,0.16885964912280702,16,0.14035087719298245,0.13815789473684212,114,-0.0021929824561403508,0.23684210526315788,0.2719298245614035,9.258771929824562
GW5-6,115,0.13260869565217392,11,0.09565217391304348,0.14782608695652175,115,0.17173913043478262,12,0.13043478260869565,0.16304347826086957,115,0.1282608695652174,10,0.09565217391304348,0.14565217391304347,115,0.13260869565217392,10,0.09565217391304348,0.14565217391304347,115,0.13260869565217392,10,0.09565217391304348,0.15,115,0.13260869565217392,11,0.09565217391304348,0.15,114,-0.039473684210526314,0.20175438596491227,0.3157894736842105,7.339130434782609
GW7-8,116,0.1724137931034483,14,0.12931034482758622,0.1206896551724138,116,0.16594827586206898,10,0.11206896551724138,0.15517241379310345,116,0.14870689655172414,12,0.10344827586206896,0.1206896551724138,116,0.15517241379310345,11,0.12931034482758622,0.11637931034482758,116,0.15301724137931033,11,0.12931034482758622,0.11637931034482758,116,0.15732758620689655,11,0.12931034482758622,0.11853448275862069,116,0.00646551724137931,0.25862068965517243,0.2413793103448276,8.64655172413793
