days_bucket,CURRENT_n,CURRENT_mae_ah,CURRENT_n_ge05,CURRENT_flip,CURRENT_mae_tot,RESET_n,RESET_mae_ah,RESET_n_ge05,RESET_flip,RESET_mae_tot,H30_n,H30_mae_ah,H30_n_ge05,H30_flip,H30_mae_tot,H45_n,H45_mae_ah,H45_n_ge05,H45_flip,H45_mae_tot,H60_n,H60_mae_ah,H60_n_ge05,H60_flip,H60_mae_tot,H90_n,H90_mae_ah,H90_n_ge05,H90_flip,H90_mae_tot,n,harm_CUR_vs_RESET_mean,pct_CURRENT_worse,pct_CURRENT_better,mean_t
0-14,373,0.1769436997319035,56,0.13136729222520108,0.15415549597855227,373,0.1789544235924933,43,0.1447721179624665,0.16085790884718498,373,0.16353887399463807,48,0.1260053619302949,0.14611260053619302,373,0.16823056300268097,49,0.128686327077748,0.1467828418230563,373,0.1675603217158177,48,0.13136729222520108,0.15013404825737264,373,0.17024128686327078,50,0.13136729222520108,0.15147453083109919,372,-0.0020161290322580645,0.260752688172043,0.2768817204301075,7.631367292225201
15-29,30,0.20833333333333334,5,0.13333333333333333,0.11666666666666667,30,0.15833333333333333,1,0.13333333333333333,0.16666666666666666,30,0.15,3,0.1,0.11666666666666667,30,0.16666666666666666,4,0.13333333333333333,0.10833333333333334,30,0.175,4,0.13333333333333333,0.10833333333333334,30,0.19166666666666668,5,0.13333333333333333,0.10833333333333334,30,0.05,0.3,0.13333333333333333,15.3
60-89,30,0.3,11,0.06666666666666667,0.275,30,0.20833333333333334,5,0.1,0.18333333333333332,30,0.2,5,0.1,0.2,30,0.19166666666666668,4,0.06666666666666667,0.2,30,0.175,4,0.03333333333333333,0.20833333333333334,30,0.19166666666666668,5,0.03333333333333333,0.225,30,0.09166666666666666,0.43333333333333335,0.16666666666666666,83.88333333333334
90+,27,0.28703703703703703,9,0.25925925925925924,0.25,27,0.2222222222222222,5,0.18518518518518517,0.19444444444444445,27,0.2037037037037037,5,0.18518518518518517,0.18518518518518517,27,0.19444444444444445,4,0.18518518518518517,0.18518518518518517,27,0.19444444444444445,5,0.18518518518518517,0.19444444444444445,27,0.25,8,0.2222222222222222,0.2037037037037037,27,0.06481481481481481,0.4074074074074074,0.2962962962962963,111.37037037037037
unknown,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0,0.0,0.25,1,0.0,0.0,0.0,
