bucket,harm_D_n,harm_D_mean,harm_D_pct_pos,harm_D_pct_neg,harm_S_n,harm_S_mean,harm_S_pct_pos,harm_S_pct_neg,flip_ah_FULL,flip_ah_BASE,n
GW1-2,116,0.08620689655172414,0.43103448275862066,0.20689655172413793,116,0.0668103448275862,0.4396551724137931,0.1896551724137931,0.1724137931034483,0.13793103448275862,116
GW3-4,114,-0.0043859649122807015,0.23684210526315788,0.2719298245614035,114,-0.015350877192982455,0.13157894736842105,0.20175438596491227,0.14035087719298245,0.19298245614035087,114
GW5-6,114,-0.03070175438596491,0.21052631578947367,0.2982456140350877,114,-0.015350877192982455,0.12280701754385964,0.18421052631578946,0.09649122807017543,0.13157894736842105,114
GW7-8,116,0.00646551724137931,0.25862068965517243,0.2413793103448276,116,-0.034482758620689655,0.07758620689655173,0.20689655172413793,0.12931034482758622,0.11206896551724138,116
