league,home,away,ah_market,tot_market,ah_FULL,ah_B_Doff,ah_BASE,tot_FULL,tot_C_Soff,tot_BASE,harm_D,harm_S,flip_ah_FULL,flip_ah_BASE,fav_mkt,fav_FULL,fav_BASE,D_base,slow_D,fast_D,D_correction,D_after_dynamic,D_after_cal,D_after_SFA,D_final,D_market,slow_bias_home,slow_bias_away,fast_bias_home,fast_bias_away,slow_n_home,slow_n_away,fast_n_home,fast_n_away,s_base,s_dynamic,s_corr,s_final,o1,ox,o2,FULL_1x2_m,BASE_1x2_m,overround_pct,flip_1x2_FULL
Premier League,Nott'm Forest,Leeds,-0.25,2.5,0.25,-0.25,-0.25,2.5,2.25,2.25,0.5,-0.25,True,False,H,A,H,0.34055758626343235,0.18995361748984166,-0.3860626408698783,-0.5366666096434689,-0.19610902338003655,-0.21703088166976472,-0.2762737415367972,-0.2762737415367972,0.25,-0.07827822257835469,0.07232574619523599,-0.2932720307718855,0.09279061009799276,37,35,37,35,2.4673177077583075,2.635422981447289,0.16810527368898137,2.635422981447289,2.26,3.36,3.23,3.209/3.427/2.241,2.144/3.330/3.534,4.969444694505665,True
Premier League,Everton,Crystal Palace,-0.25,2.5,-0.75,-0.25,-0.25,2.5,2.25,2.25,0.5,-0.25,False,False,H,H,H,0.21400298982738536,0.41077439791475706,0.2860922938819903,0.482863701969362,0.6968666917967474,0.7545324857333281,0.7545324857333281,0.7545324857333281,0.25,0.02347457342620496,-0.17329683466116674,0.10804110656671254,-0.17805118731527778,37,37,37,37,2.456262798183097,2.6201326063902046,0.1638698082071074,2.6201326063902046,2.15,3.41,3.42,1.754/3.675/4.793,2.189/3.304/3.432,5.076907185329027,False
Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.5,0.25,0.25,3.25,3.0,3.0,0.25,0.25,False,False,A,A,A,-0.22823884077216705,-0.3691388501107019,-0.24248207971859306,-0.38338208905712795,-0.611620929829295,-0.6664960240052903,-0.6664960240052903,-0.6664960240052903,-0.25,-0.017993574672360825,0.12290643466617407,-0.06693357804937175,0.1755485016692213,33,33,33,33,3.1722305517822287,3.3939831848158573,0.2217526330336287,3.3939831848158573,2.98,3.67,2.27,3.853/4.109/1.833,3.003/3.767/2.222,4.8578668192588825,False
Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.25,0.0,0.0,3.0,2.75,2.75,0.25,0.25,True,False,N,A,N,0.03273656196232294,0.006674637400760942,-0.39291193100602007,-0.41897385556758204,-0.3862372936052591,-0.42317890658370916,-0.42317890658370916,-0.42317890658370916,-0.0,-0.07159595893183426,-0.045534034370272265,-0.28294034454433026,0.10997158646168981,34,33,34,33,2.797731138748441,3.168306238670117,0.3705750999216758,3.168306238670117,2.47,3.51,2.78,3.344/3.815/2.048,2.460/3.465/2.822,4.947081471125392,True
Serie A,Udinese,Como,0.5,2.25,1.0,0.5,0.5,2.5,2.25,2.25,0.5,0.25,False,False,A,A,A,-0.64762748104862,-0.8191302547134564,-0.24263492171022671,-0.41413769537506306,-1.061765176423683,-1.1530337766789494,-1.1530337766789494,-1.1530337766789494,-0.5,-0.01743057006128559,0.15407220360355078,-0.1163621434874463,0.1262727782227804,37,38,37,38,2.500582509240519,2.6149251439088066,0.11434263466828733,2.6149251439088066,4.5,3.52,1.826,7.495/4.000/1.491,4.869/3.439/1.793,5.395825727151027,False
Serie A,Genoa,Napoli,0.5,2.25,1.0,0.5,0.5,2.25,2.0,2.0,0.5,-0.25,False,False,A,A,A,-0.6442761461016218,-0.7490417104873701,-0.36650825217400074,-0.4712738165597491,-1.1155499626613707,-1.2115705490853137,-1.2115705490853137,-1.2115705490853137,-0.5,-0.07384341412527695,0.030922150260471393,-0.2358101112731832,0.13069814090081755,38,37,38,37,2.1307561802324626,2.289397293146887,0.15864111291442445,2.289397293146887,4.98,3.24,1.84,9.724/3.899/1.442,5.469/3.170/1.803,5.292344902961288,False
