n,mae_AH,mae_Tot,n_ah_ge_0_5,n_ah_ge_0_75,n_tot_ge_0_5,bias_AH,bias_Tot,mae_P1,mae_PX,mae_P2,n_1x2,mae_odds_1,mae_odds_X,mae_odds_2,bias_odds_1,bias_odds_X,bias_odds_2,n_odds,mae_odds_fav,bucket,arm,mode
230,0.20869565217391303,0.17173913043478262,46,11,23,-0.06739130434782609,0.1,0.048575325492197306,0.019910074881749666,0.04221455204838133,230,0.43538018525575717,0.3579409598990548,1.0663917334692354,-0.09229835120374151,0.15766924798599036,0.583528896535498,230,0.22881473552778453,GW1-4,scale_1.00,diag
230,0.17391304347826086,0.14782608695652175,33,4,12,-0.04782608695652174,0.04782608695652174,0.041477042090149005,0.01740877766704569,0.03601020803104331,230,0.36730317024996006,0.31009577008630307,0.7279411396609069,-0.12570827770605644,0.04229850523440099,0.31756586781962926,230,0.19081250136111505,GW1-4,scale_0.50,diag
230,0.175,0.15,30,2,15,-0.05326086956521739,0.021739130434782608,0.042608533895244875,0.017342321724970463,0.03609363418744587,230,0.3707455059036716,0.310826205970055,0.6960714523838155,-0.13044358153534347,-0.00228520530223326,0.2519214549872989,230,0.1939950632420109,GW1-4,scale_0.25,diag
230,0.20217391304347826,0.15978260869565217,35,3,16,-0.05652173913043478,-0.014130434782608696,0.046266086884971865,0.01788713714100116,0.038836825757474734,230,0.40957119067284614,0.3226928129977333,0.7498762481998072,-0.12127157158870479,-0.03876728920849255,0.21997243999983562,230,0.21164297619906586,GW1-4,scale_0.00,diag
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,0.30781391762981175,0.2651302818532072,0.8449438340608659,-0.04891578193904427,0.1350951363750088,0.5218383462299216,231,0.155984339703417,GW5-8,scale_1.00,diag
231,0.13095238095238096,0.14285714285714285,17,1,12,-0.04220779220779221,-0.023809523809523808,0.03128687252895576,0.014941654145781665,0.027711415906963004,231,0.26324251241131535,0.23886332932066767,0.6312830298032944,-0.07746833401047666,0.0636999932320146,0.31284293700411037,231,0.13979158046072038,GW5-8,scale_0.50,diag
231,0.15151515151515152,0.14826839826839827,21,1,16,-0.0367965367965368,-0.03787878787878788,0.034052079222318364,0.015694023565686162,0.030915841950924363,231,0.28483323238148933,0.2418098560812991,0.6033391003544237,-0.08558015002288778,0.036992764964539196,0.2556267593561707,231,0.15578843256286878,GW5-8,scale_0.25,diag
231,0.16883116883116883,0.15584415584415584,20,3,19,-0.03463203463203463,-0.047619047619047616,0.03969945069660602,0.016921334944093726,0.0364030462030327,231,0.32946313328102506,0.25746872962614326,0.6335390834196281,-0.08160758935274286,0.01614589182267891,0.22073646939700234,231,0.18382161369321046,GW5-8,scale_0.00,diag
