match_id,match_date,home_team,away_team,ps_id,fid,userbet_home,userbet_away,slug,lineups_url
15131,2023-08-18,Werder Bremen,Bayern Munich,1577093662,319286,Werder Bremen,Bayern Munich,bundesliga-werder_bremen-bayern_munich,https://userbet.info/lineups_fixture/bundesliga-werder_bremen-bayern_munich/319286/
15132,2023-08-19,Augsburg,M'gladbach,1577142154,320132,Augsburg,B. Monchengladbach,bundesliga-augsburg-b._monchengladbach,https://userbet.info/lineups_fixture/bundesliga-augsburg-b._monchengladbach/320132/
15137,2023-08-19,Dortmund,FC Koln,1577154751,320137,Dortmund (Ger),FC Koln,bundesliga-dortmund_ger-fc_koln,https://userbet.info/lineups_fixture/bundesliga-dortmund_ger-fc_koln/320137/
15133,2023-08-19,Hoffenheim,Freiburg,1577141887,320133,Hoffenheim,Freiburg,bundesliga-hoffenheim-freiburg,https://userbet.info/lineups_fixture/bundesliga-hoffenheim-freiburg/320133/
15134,2023-08-19,Leverkusen,RB Leipzig,1577142422,320134,Bayer Leverkusen (Ger),RB Leipzig,bundesliga-bayer_leverkusen_ger-rb_leipzig,https://userbet.info/lineups_fixture/bundesliga-bayer_leverkusen_ger-rb_leipzig/320134/
15135,2023-08-19,Stuttgart,Bochum,1577141354,320135,Stuttgart,Bochum,bundesliga-stuttgart-bochum,https://userbet.info/lineups_fixture/bundesliga-stuttgart-bochum/320135/
15136,2023-08-19,Wolfsburg,Heidenheim,1577141621,320136,Wolfsburg,Heidenheim (Ger),bundesliga-wolfsburg-heidenheim_ger,https://userbet.info/lineups_fixture/bundesliga-wolfsburg-heidenheim_ger/320136/
15139,2023-08-20,Ein Frankfurt,Darmstadt,1577214858,321436,Eintracht Frankfurt,Darmstadt (Ger),bundesliga-eintracht_frankfurt-darmstadt_ger,https://userbet.info/lineups_fixture/bundesliga-eintracht_frankfurt-darmstadt_ger/321436/
15138,2023-08-20,Union Berlin,Mainz,1577207206,321435,Union Berlin,Mainz,bundesliga-union_berlin-mainz,https://userbet.info/lineups_fixture/bundesliga-union_berlin-mainz/321435/
15140,2023-08-25,RB Leipzig,Stuttgart,1577515378,323532,RB Leipzig,Stuttgart,bundesliga-rb_leipzig-stuttgart,https://userbet.info/lineups_fixture/bundesliga-rb_leipzig-stuttgart/323532/
15143,2023-08-26,FC Koln,Wolfsburg,1577570623,324410,FC Koln,Wolfsburg,bundesliga-fc_koln-wolfsburg,https://userbet.info/lineups_fixture/bundesliga-fc_koln-wolfsburg/324410/
15144,2023-08-26,Freiburg,Werder Bremen,1577570357,324411,Freiburg,Werder Bremen,bundesliga-freiburg-werder_bremen,https://userbet.info/lineups_fixture/bundesliga-freiburg-werder_bremen/324411/
15145,2023-08-26,Heidenheim,Hoffenheim,1577571155,324412,Heidenheim (Ger),Hoffenheim,bundesliga-heidenheim_ger-hoffenheim,https://userbet.info/lineups_fixture/bundesliga-heidenheim_ger-hoffenheim/324412/
15146,2023-08-26,M'gladbach,Leverkusen,1577583225,324413,B. Monchengladbach,Bayer Leverkusen (Ger),bundesliga-b._monchengladbach-bayer_leverkusen_ger,https://userbet.info/lineups_fixture/bundesliga-b._monchengladbach-bayer_leverkusen_ger/324413/
15141,2023-08-26,Bochum,Dortmund,1577570889,324408,Bochum,Dortmund (Ger),bundesliga-bochum-dortmund_ger,https://userbet.info/lineups_fixture/bundesliga-bochum-dortmund_ger/324408/
15142,2023-08-26,Darmstadt,Union Berlin,1577571421,324409,Darmstadt (Ger),Union Berlin,bundesliga-darmstadt_ger-union_berlin,https://userbet.info/lineups_fixture/bundesliga-darmstadt_ger-union_berlin/324409/
15148,2023-08-27,Bayern Munich,Augsburg,1577653702,325622,Bayern Munich,Augsburg,bundesliga-bayern_munich-augsburg,https://userbet.info/lineups_fixture/bundesliga-bayern_munich-augsburg/325622/
15147,2023-08-27,Mainz,Ein Frankfurt,1577646693,325621,Mainz,Eintracht Frankfurt,bundesliga-mainz-eintracht_frankfurt,https://userbet.info/lineups_fixture/bundesliga-mainz-eintracht_frankfurt/325621/
15149,2023-09-01,Dortmund,Heidenheim,1577957353,327716,Dortmund (Ger),Heidenheim (Ger),bundesliga-dortmund_ger-heidenheim_ger,https://userbet.info/lineups_fixture/bundesliga-dortmund_ger-heidenheim_ger/327716/
15150,2023-09-02,Augsburg,Bochum,1577993836,328760,Augsburg,Bochum,bundesliga-augsburg-bochum,https://userbet.info/lineups_fixture/bundesliga-augsburg-bochum/328760/
15151,2023-09-02,Hoffenheim,Wolfsburg,1577993570,328762,Hoffenheim,Wolfsburg,bundesliga-hoffenheim-wolfsburg,https://userbet.info/lineups_fixture/bundesliga-hoffenheim-wolfsburg/328762/
15152,2023-09-02,Leverkusen,Darmstadt,1577994634,328763,Bayer Leverkusen (Ger),Darmstadt (Ger),bundesliga-bayer_leverkusen_ger-darmstadt_ger,https://userbet.info/lineups_fixture/bundesliga-bayer_leverkusen_ger-darmstadt_ger/328763/
15155,2023-09-02,M'gladbach,Bayern Munich,1578004933,328765,B. Monchengladbach,Bayern Munich,bundesliga-b._monchengladbach-bayern_munich,https://userbet.info/lineups_fixture/bundesliga-b._monchengladbach-bayern_munich/328765/
