match_id,match_date,home_team,away_team,ps_id,fid,userbet_home,userbet_away,slug,lineups_url,ah_away_odds,ah_home_odds,away_odds,closing_ah_home,closing_total_line,draw_odds,home_odds,over_odds,under_odds,status,error
15141,2023-08-26,Bochum,Dortmund,1577570889,324408,Bochum,Dortmund (Ger),bundesliga-bochum-dortmund_ger,https://userbet.info/lineups_fixture/bundesliga-bochum-dortmund_ger/324408/,,,,,,,,,,skipped_filled,
15146,2023-08-26,M'gladbach,Leverkusen,1577583225,324413,B. Monchengladbach,Bayer Leverkusen (Ger),bundesliga-b._monchengladbach-bayer_leverkusen_ger,https://userbet.info/lineups_fixture/bundesliga-b._monchengladbach-bayer_leverkusen_ger/324413/,,,,,,,,,,skipped_filled,
15142,2023-08-26,Darmstadt,Union Berlin,1577571421,324409,Darmstadt (Ger),Union Berlin,bundesliga-darmstadt_ger-union_berlin,https://userbet.info/lineups_fixture/bundesliga-darmstadt_ger-union_berlin/324409/,,,,,,,,,,skipped_filled,
15145,2023-08-26,Heidenheim,Hoffenheim,1577571155,324412,Heidenheim (Ger),Hoffenheim,bundesliga-heidenheim_ger-hoffenheim,https://userbet.info/lineups_fixture/bundesliga-heidenheim_ger-hoffenheim/324412/,,,,,,,,,,skipped_filled,
15144,2023-08-26,Freiburg,Werder Bremen,1577570357,324411,Freiburg,Werder Bremen,bundesliga-freiburg-werder_bremen,https://userbet.info/lineups_fixture/bundesliga-freiburg-werder_bremen/324411/,2.58,1.55,15.27,0.0,3.5,1.14,9.69,2.99,1.42,written,
15143,2023-08-26,FC Koln,Wolfsburg,1577570623,324410,FC Koln,Wolfsburg,bundesliga-fc_koln-wolfsburg,https://userbet.info/lineups_fixture/bundesliga-fc_koln-wolfsburg/324410/,,,,,,,,,,skipped_filled,
