match_id,match_date,home_team,away_team,ps_id,fid,userbet_home,userbet_away,slug,lineups_url,ah_away_odds,ah_home_odds,away_odds,closing_ah_home,closing_total_line,draw_odds,home_odds,over_odds,under_odds,status,error
12690,2023-08-11,Burnley,Man City,1576675061,315576,Burnley,Manchester City,premier_league-burnley-manchester_city,https://userbet.info/lineups_fixture/premier_league-burnley-manchester_city/315576/,,,,,,,,,,skipped_filled,
12691,2023-08-12,Arsenal,Nott'm Forest,,316152,Arsenal,Nottingham,premier_league-arsenal_-nottingham,https://userbet.info/lineups_fixture/premier_league-arsenal_-nottingham/316152/,,,,,,,,,,error,no ps_id (archive graph id=0)
12694,2023-08-12,Everton,Fulham,1576716011,316155,Everton,Fulham,premier_league-everton-fulham,https://userbet.info/lineups_fixture/premier_league-everton-fulham/316155/,,,,,,,,,,skipped_filled,
12695,2023-08-12,Sheffield United,Crystal Palace,1576716277,316156,Sheffield Utd,Crystal Palace,premier_league-sheffield_utd-crystal_palace,https://userbet.info/lineups_fixture/premier_league-sheffield_utd-crystal_palace/316156/,,,,,,,,,,skipped_filled,
12693,2023-08-12,Brighton,Luton,1576716543,316154,Brighton,Luton,premier_league-brighton-luton,https://userbet.info/lineups_fixture/premier_league-brighton-luton/316154/,,,,,,,,,,skipped_filled,
12696,2023-08-12,Newcastle,Aston Villa,1576729237,316157,Newcastle,Aston Villa,premier_league-newcastle-aston_villa,https://userbet.info/lineups_fixture/premier_league-newcastle-aston_villa/316157/,,,,,,,,,,skipped_filled,
12692,2023-08-12,Bournemouth,West Ham,1576715745,316153,Bournemouth,West Ham,premier_league-bournemouth-west_ham,https://userbet.info/lineups_fixture/premier_league-bournemouth-west_ham/316153/,,,,,,,,,,skipped_filled,
12697,2023-08-13,Brentford,Tottenham,1576793855,317246,Brentford,Tottenham,premier_league-brentford-tottenham,https://userbet.info/lineups_fixture/premier_league-brentford-tottenham/317246/,,,,,,,,,,skipped_filled,
12698,2023-08-13,Chelsea,Liverpool,1576806047,317247,Chelsea,Liverpool,premier_league-chelsea-liverpool,https://userbet.info/lineups_fixture/premier_league-chelsea-liverpool/317247/,,,,,,,,,,skipped_filled,
12699,2023-08-14,Man United,Wolves,1576851611,317795,Manchester Utd,Wolves,premier_league-manchester_utd-wolves,https://userbet.info/lineups_fixture/premier_league-manchester_utd-wolves/317795/,,,,,,,,,,skipped_filled,
12700,2023-08-18,Nott'm Forest,Sheffield United,1577094341,319251,Nottingham,Sheffield Utd,premier_league-nottingham-sheffield_utd,https://userbet.info/lineups_fixture/premier_league-nottingham-sheffield_utd/319251/,2.2,1.72,10.76,0.0,3.5,1.25,6.39,4.88,1.2,written,
12705,2023-08-19,Man City,Newcastle,1577165158,319958,Manchester City,Newcastle,premier_league-manchester_city-newcastle,https://userbet.info/lineups_fixture/premier_league-manchester_city-newcastle/319958/,2.17,1.76,87.14,0.0,1.5,7.04,1.14,5.65,1.17,written,
12703,2023-08-19,Wolves,Brighton,1577144147,319956,Wolves,Brighton,premier_league-wolves-brighton,https://userbet.info/lineups_fixture/premier_league-wolves-brighton/319956/,1.44,2.9,1.06,0.0,5.5,14.61,54.96,4.83,1.2,written,
