match,league,fav,dog,dPdog_pp,d_model,d_base,d_after_aging,d_line,ah,ah_pred,model_minus_line,o1,ox,o2,p_dog,m_dog,s_final,lh,la
Lens–Auxerre,Ligue 1,H,Auxerre,-5.918571633639298,1.3996930990390055,1.2040548011192154,1.3002281362874772,1.0,-1.0,-1.25,0.3996930990390055,1.602,4.25,5.1,11.428067439614235,17.346639073253534,2.9809604065784425,2.190326752808724,0.7906336537697185
Le Havre–Monaco,Ligue 1,A,Le Havre,-6.363426262880811,-0.8547147413095403,-0.7928635937044815,-0.7879128180832985,-0.5,0.5,0.75,-0.3547147413095403,3.51,3.98,1.934,20.177889352605256,26.541315615486067,3.0598240302975213,1.1025546444939904,1.9572693858035308
Torino–Milan,Serie A,A,Torino,-5.304056420201245,-0.9891765398822082,-0.8403361655484676,-0.9112097888900046,-0.75,0.75,1.0,-0.23917653988220822,4.42,3.71,1.793,15.221061954933674,20.52511837513492,2.605600161198993,0.8082118106583924,1.7973883505406008
Genoa–Napoli,Serie A,A,Genoa,-3.7542839420679486,-0.8982089301501569,-0.6442761461016218,-0.8276268846255419,-0.5,0.5,0.75,-0.3982089301501569,4.98,3.24,1.84,14.197749183060292,17.952033125128242,2.1910645060410414,0.6464277879454423,1.544636718095599
Udinese–Como,Serie A,A,Udinese,-3.3511973846090672,-0.880125650309129,-0.64762748104862,-0.8110115964785611,-0.5,0.5,0.75,-0.38012565030912904,4.5,3.52,1.826,16.7467821982521,20.097979582861164,2.545127695981721,0.832501022836296,1.712626673145425
Angers–Lille,Ligue 1,A,Angers,-2.7619027862243932,-0.9994839434093056,-0.8635763041503373,-0.9220050149013163,-0.75,0.75,1.0,-0.24948394340930558,5.0,3.81,1.689,15.035644394060151,17.797547180284546,2.5439495145896522,0.7722327855901734,1.7717167289994789
