mode,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,o1,ox,o2,p1,px,p2,b1m,bxm,b2m,d1,dx,d2,overround_pct,lh,la,m1,mx,m2,dp1_pp,dpx_pp,dp2_pp
base,La Liga,Alaves,Getafe,-0.25,1.75,-0.25,1.75,0.0,0.0,2.37,2.82,3.9,0.4290006670284669,0.33833770703465094,0.23266162593688203,2.256618062009883,2.861314697423243,4.160938229209126,-0.11338193799011709,0.04131469742324301,0.26093822920912624,3.296111375831279,1.0991483672242868,0.7347910497797855,0.4121925220397188,0.34376900591886755,0.24403847204141368,1.6808144988748108,-0.5431298884216618,-1.1376846104531657
base,La Liga,Sevilla,Vallecano,-0.25,2.25,-0.25,2.25,0.0,0.0,2.34,3.28,3.32,0.4505940468327404,0.29548362451523025,0.2539223286520294,2.147494700415031,3.274795106494967,3.8108044012857176,-0.19250529958496898,-0.005204893505032615,0.4908044012857178,3.3433295408023644,1.3637766782561929,0.9609018068291059,0.41755562919738115,0.29308782741128336,0.28935654339133554,3.3038417635359254,0.2395797103946884,-3.5434214739306134
base,La Liga,Espanol,Levante,-0.25,2.25,-0.5,2.5,-0.25,0.25,2.14,3.3,3.8,0.49353631391429237,0.27172918242507565,0.2347345036606321,1.960557958228695,3.560922456999336,4.1221317396033115,-0.17944204177130518,0.260922456999336,0.32213173960331165,3.3477917393313295,1.5755798119997364,1.016600231537632,0.4581367315535266,0.2911786995111432,0.2506845689353303,3.539958236076579,-1.944951708606757,-1.5950065274698222
base,La Liga,Celta,Osasuna,-0.5,2.25,-0.5,2.25,0.0,0.0,2.09,3.49,3.71,0.5001288667204059,0.2771519795956505,0.22271915368394365,1.9327214516312896,3.487652481143397,4.340038893387102,-0.15727854836871025,-0.0023475188566033367,0.630038893387102,3.454362978667058,1.5320712131735494,0.9436697128675973,0.46920819024481475,0.2740272902051786,0.2567645195500068,3.092067647559116,0.31246893904719464,-3.404536586606313
base,La Liga,Valencia,Betis,0.0,2.5,0.0,2.25,0.0,-0.25,2.69,3.24,2.71,0.37697557078168953,0.2942703396530193,0.3287540895652909,2.527834753952567,3.23828745478285,2.8986162589585285,-0.162165246047433,-0.00171254521715003,0.18861625895852852,4.939287724145314,1.2722989564801068,1.1720633876349174,0.35579512660213686,0.29121857830178377,0.3529862950960794,2.118044417955267,0.3051761351235527,-2.423220553078853
base,La Liga,Real Madrid,Sociedad,-1.25,3.0,-1.5,3.0,-0.25,0.0,1.386,5.11,7.13,0.7033086859609566,0.1906419336122754,0.10604938042676841,1.3446059945446467,4.9604672867078445,8.917289958251553,-0.04139400545535321,-0.14953271329215578,1.7872899582515531,5.744789216133528,2.263470362550584,0.7775206083441746,0.7126759210099253,0.17176582225676698,0.11555825673330786,-0.9367235048968636,1.887611135550843,-0.9508876306539447
base,La Liga,Barcelona,Ath Bilbao,-1.25,3.0,-1.25,3.0,0.0,0.0,1.406,5.0,6.83,0.6820173942171441,0.19421783377428548,0.12376477200857061,1.386316510257081,4.868203684037395,7.639427266268178,-0.019683489742919003,-0.131796315962605,0.8094272662681776,5.76504376766378,2.292523169757802,0.8907646435803429,0.7020887151705941,0.17614943275824144,0.12176185207116444,-2.007132095344999,1.8068401016044038,0.20029199374061724
base,Premier League,Nott'm Forest,Leeds,-0.25,2.5,-0.25,2.25,0.0,-0.25,2.26,3.36,3.23,0.44435837363883735,0.2861067897207692,0.26953483664039374,2.14389608747865,3.3297293629852067,3.5344528765077246,-0.11610391252134988,-0.030270637014793156,0.30445287650772457,4.969444694505665,1.4170886967591663,1.050225754136968,0.42812760032122316,0.27981080237441697,0.29206159730436,1.6230773317614189,0.6295987346352228,-2.252676066396625
base,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.25,2.25,0.0,-0.25,2.15,3.41,3.42,0.43466552591454954,0.2880144329302869,0.2773200411551635,2.189462553069897,3.3042923662464214,3.4317169726938768,0.03946255306989688,-0.10570763375357872,0.011716972693876837,5.076907185329027,1.3927156053709961,1.0635443879819373,0.45100451580007567,0.2749362938008292,0.2740591903990952,-1.6338989885526123,1.307813912945771,0.3260850756068301
base,Premier League,Brentford,Tottenham,0.0,2.75,-0.25,2.5,-0.25,-0.25,2.4,3.67,2.77,0.43516656984006347,0.2687022600701594,0.296131170089777,2.188216146883931,3.543842595367403,3.215597042416825,-0.21178385311606895,-0.12615740463259684,0.44559704241682496,5.0157061024274086,1.5445241693863923,1.2376611670003648,0.4015372728895646,0.25394027590536183,0.3445224512050736,3.3629296950498877,1.476198416479757,-4.839128111529655
base,Premier League,Man City,Bournemouth,-1.25,3.25,-1.5,3.25,-0.25,0.0,1.446,5.05,5.97,0.6956462227294761,0.17905944083042638,0.12529433644009771,1.3598808839715835,5.283139475414392,7.550189634861322,-0.08611911602841649,0.23313947541439184,1.5801896348613225,5.70869218117207,2.513186513189999,1.0058980815037493,0.6819713733914661,0.17452979062721982,0.1434988359813141,1.3674849338009998,0.4529650203206559,-1.820449954121639
base,Premier League,Brighton,Aston Villa,-0.25,3.0,-0.25,2.75,0.0,-0.25,2.26,3.62,3.02,0.4328356968779642,0.26483110531781384,0.30233319780422196,2.2006501275233328,3.5967071556343777,3.1505634791318995,-0.05934987247666701,-0.0232928443656224,0.13056347913189947,4.984679784341628,1.5750495984689947,1.2836631853005382,0.4280768264229464,0.2578952264483734,0.3140279471286801,0.4758870455017772,0.6935878869440415,-1.1694749324458131
