mode,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,o1,ox,o2,p1,px,p2,b1m,bxm,b2m,d1,dx,d2,overround_pct,lh,la,m1,mx,m2,dp1_pp,dpx_pp,dp2_pp
full,La Liga,Alaves,Getafe,-0.25,1.75,-0.5,1.75,-0.25,0.0,2.37,2.82,3.9,0.4617492031272596,0.3251945830777648,0.2130562137949756,2.096572440784304,2.9769581174088113,4.543827361741824,-0.2734275592156963,0.1569581174088115,0.6438273617418244,3.296111375831279,1.206535232945508,0.7324372675005233,0.4121925220397188,0.34376900591886755,0.24403847204141368,4.95566810875408,-1.8574422841102778,-3.0982258246438077
full,La Liga,Sevilla,Vallecano,-0.25,2.25,-0.5,2.25,-0.25,0.0,2.34,3.28,3.32,0.48862294827856745,0.2914386387862359,0.2199384129351968,1.9803579242868654,3.320247211014535,4.399633127738275,-0.35964207571313445,0.0402472110145351,1.079633127738275,3.3433295408023644,1.4362358719537198,0.8828112253977644,0.41755562919738115,0.29308782741128336,0.28935654339133554,7.10673190811863,-0.1649188625047482,-6.941813045613873
full,La Liga,Espanol,Levante,-0.25,2.25,-0.25,2.5,0.0,0.25,2.14,3.3,3.8,0.458994140867657,0.27179208113902154,0.2692137779933216,2.1081021777106166,3.560098380587442,3.59419400868675,-0.03189782228938354,0.26009838058744217,-0.20580599131324995,3.3477917393313295,1.5737622489688505,1.1569539925864156,0.4581367315535266,0.2911786995111432,0.2506845689353303,0.08574093141304195,-1.938661837212169,1.852920905799127
full,La Liga,Celta,Osasuna,-0.5,2.25,-0.25,2.25,0.25,0.0,2.09,3.49,3.71,0.4592190449715905,0.2876426803799171,0.2531382746484922,2.104899175839656,3.3604532818769495,3.818505086332002,0.014899175839655943,-0.12954671812305074,0.10850508633200207,3.454362978667058,1.4467069730180158,1.0137637466624854,0.46920819024481475,0.2740272902051786,0.2567645195500068,-0.9989145273224254,1.3615390174738506,-0.3626244901514586
full,La Liga,Valencia,Betis,0.0,2.5,-0.25,2.5,-0.25,0.0,2.69,3.24,2.71,0.4006592159653494,0.281552255030976,0.3177885290036746,2.378410158161628,3.3845651462042827,2.9986354516970053,-0.311589841838372,0.1445651462042825,0.28863545169700533,4.939287724145314,1.4206889110071332,1.241743634170944,0.35579512660213686,0.29121857830178377,0.3529862950960794,4.486408936321257,-0.9666323270807797,-3.5197766092404823
full,La Liga,Real Madrid,Sociedad,-1.25,3.0,-1.5,3.5,-0.25,0.5,1.386,5.11,7.13,0.7019286943907648,0.1749026252599252,0.12316868034930983,1.3472494894644713,5.406854664148368,7.677869670085491,-0.03875051053552858,0.29685466414836803,0.5478696700854915,5.744789216133528,2.608410363854099,1.046773058179585,0.7126759210099253,0.17176582225676698,0.11555825673330786,-1.07472266191605,0.3136803003158217,0.7610423616001977
full,La Liga,Barcelona,Ath Bilbao,-1.25,3.0,-1.5,3.25,-0.25,0.25,1.406,5.0,6.83,0.7292743040627174,0.17154332081663423,0.09918237512064842,1.2964833240640643,5.51168048621603,9.532862796798465,-0.10951667593593561,0.5116804862160302,2.702862796798465,5.76504376766378,2.526765583109749,0.857891458137732,0.7020887151705941,0.17614943275824144,0.12176185207116444,2.7185588892123302,-0.4606111941607205,-2.2579476950516013
full,Premier League,Nott'm Forest,Leeds,-0.25,2.5,0.25,2.5,0.5,0.0,2.26,3.36,3.23,0.29686796601660603,0.2779895495343081,0.42514248444908603,3.209029897922331,3.426956805673398,2.24079741152467,0.9490298979223311,0.06695680567339801,-0.9892025884753299,4.969444694505665,1.1795740988399068,1.455844359761897,0.42812760032122316,0.27981080237441697,0.29206159730436,-13.125963430461713,-0.18212528401088668,13.308088714472605
full,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.75,2.5,-0.5,0.0,2.15,3.41,3.42,0.5425300228155654,0.25892788039246517,0.19854209679196924,1.7541589443500096,3.6754786338877126,4.793360740505856,-0.3958410556499903,0.2654786338877124,1.3733607405058557,5.076907185329027,1.6873164527283366,0.9328000098853961,0.45100451580007567,0.2749362938008292,0.2740591903990952,9.152550701548973,-1.6008413408364008,-7.5517093607125965
full,Premier League,Brentford,Tottenham,0.0,2.75,-0.25,2.75,-0.25,0.0,2.4,3.67,2.77,0.41801907791216286,0.2617960127899623,0.3201849092978749,2.2779786019914905,3.637330089790547,2.974026842165234,-0.12202139800850942,-0.03266991020945298,0.2040268421652338,5.0157061024274086,1.580441111806126,1.3595815220004694,0.4015372728895646,0.25394027590536183,0.3445224512050736,1.6481805022598273,0.785573688460045,-2.433754190719867
full,Premier League,Man City,Bournemouth,-1.25,3.25,-1.25,3.5,0.0,0.25,1.446,5.05,5.97,0.6574463541599148,0.18796545575745335,0.15458819008263158,1.4388945870810206,5.032818378700107,6.119458412645834,-0.00710541291897937,-0.0171816212998932,0.14945841264583404,5.70869218117207,2.4897714375173656,1.1634272346483885,0.6819713733914661,0.17452979062721982,0.1434988359813141,-2.452501923155126,1.3435665130233532,1.108935410131748
